offer_id,type,fuel_type,transmission,dealer_plz,dealer_city,dealer_street_house_nr,init_regist_my,init_regist_month,init_regist_year,init_regist_dt,make,mileage,hp,price
6726101,AUDI S3 Sportback 2.0 TFSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,3012,Bern,Sennweg 6,8.2014,8.0,2014.0,2014-08,AUDI,107000,301,25500
7141799,OPEL Vivaro 1.6 CDTI Combi+ 2.9t L1H1 (Bus),Diesel,Schaltgetriebe manuell,1633,Marsens,La Croix,7.2018,7.0,2018.0,2018-07,OPEL,28000,145,27900
7456969,OPEL Vivaro 1.9 CDTI 2.7t (Bus),Diesel,Schaltgetriebe manuell,4573,lohn-Ammannsegg,4573 lohn-Ammannsegg,9.2002,9.0,2002.0,2002-09,OPEL,166608,101,5200
7468106,HYUNDAI i30 1.4 T-GDI Launch DCT (Limousine),Benzin,Automatisiertes Schaltgetriebe,9014,St. Gallen,Moosstrasse 17,5.2017,5.0,2017.0,2017-05,HYUNDAI,45000,140,18000
7501814,CADILLAC BLS Sedan 2.8T V6 Sport Luxury (Limousine),Benzin,Automat sequentiell,8835,Feusisberg,Firststrasse 8,5.2006,5.0,2006.0,2006-05,CADILLAC,193500,256,4900
5575941,CADILLAC Coupe Serie 62 (Coupé),Benzin,Automatik-Getriebe,5462,Siglistorf,5462 Siglistorf,7.1953,7.0,1953.0,1953-07,CADILLAC,65430,215,53535
7460740,CADILLAC DEVILLE Coupe Deville (Coupé),Benzin,Automatik-Getriebe,8215,Hallau,Hauptstrasse 43,12.1978,12.0,1978.0,1978-12,CADILLAC,88000,194,19500
7394235,ALFA ROMEO Spider 2.0 (Cabriolet),Benzin,Schaltgetriebe manuell,8037,Zürich,Lehensteig 1,5.1991,5.0,1991.0,1991-05,ALFA,80000,118,16500
7505696,AUDI A3 Sedan 1.6 TDI Design (Limousine),Diesel,Schaltgetriebe manuell,7204,Untervaz,Gaidlaweg 22,1.2017,1.0,2017.0,2017-01,AUDI,74400,110,16800
7477839,AUDI A3 Sedan 1.8 TFSI Attraction S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,2300,La Chaux-de-Fonds,2300 La Chaux-de-Fonds,2.2014,2.0,2014.0,2014-02,AUDI,53000,180,24200
7498192,AUDI TT Roadster 3.2 quattro (Cabriolet),Benzin,Automatisiertes Schaltgetriebe,8477,Oberstammheim,8477 Oberstammheim,2.2008,2.0,2008.0,2008-02,AUDI,100000,250,17300
6961054,BMW 530d xDrive Touring Sport Line Steptronic (Kombi),Diesel,Automat sequentiell,8052,Zürich,8052 Zürich,3.2018,3.0,2018.0,2018-03,BMW,25000,265,69800
7507701,VW Tiguan 2.0 TDI SCR Highline 4Motion DSG (SUV / Geländewagen),Diesel,Automatisiertes Schaltgetriebe,1029,Villars-Ste-Croix,La Pâle 4,9.2016,9.0,2016.0,2016-09,VW,35400,190,31900
7489402,HYUNDAI Santa Fe 2.2 CRDi Swiss Limited Ed. 4WD Aut. (SUV / Geländewagen),Diesel,Automat sequentiell,6314,Neuägeri,Zugerstrasse 193,12.2009,12.0,2009.0,2009-12,HYUNDAI,122817,155,8900
7498450,NISSAN 350 Z (Cabriolet),Benzin,Schaltgetriebe,8852,Altendorf,8852 Altendorf,4.2005,4.0,2005.0,2005-04,NISSAN,86300,280,12800
7214685,NISSAN 350 Z (Coupé),Benzin,Schaltgetriebe manuell,9000,St. Gallen,Schneebergstrasse 56,9.2003,9.0,2003.0,2003-09,NISSAN,94000,280,11200
7507480,BMW 330 330ci (Cabriolet),Benzin,Automat,4143,Dornach,4143 Dornach,11.2002,11.0,2002.0,2002-11,BMW,38000,231,17500
7469587,MERCEDES-BENZ E 240 Avantgarde (Kombi),Benzin,Automatik-Getriebe,5400,Baden,Zürcherstrasse 33,12.2003,12.0,2003.0,2003-12,MERCEDES-BENZ,187200,177,5499
7495214,AUDI Q5 3.0 TDI quattro S-tronic (SUV / Geländewagen),Diesel,Automatisiertes Schaltgetriebe,6318,walchwil,Forchwaldstrasse 53,4.2009,4.0,2009.0,2009-04,AUDI,180000,239,14500
7474137,FORD Edge 2.0 EcoBlue ST-Line 4WD Automatic (SUV / Geländewagen),Diesel,Automat sequentiell,1010,Lausanne,"Avenue de Valmont, 5",2.2019,2.0,2019.0,2019-02,FORD,18000,238,44900
6339155,MERCEDES-BENZ G 400 CDI Automatic (SUV / Geländewagen),Diesel,Automat,5074,Eiken,Hauptstrasse 105f,5.2001,5.0,2001.0,2001-05,MERCEDES-BENZ,86520,250,42900
7508413,VW Touran 2.0 TDI Comfortline DSG (Kompaktvan / Minivan),Diesel,Automatisiertes Schaltgetriebe,1209,Genève,Chemin du Petit-Saconnex 2,12.201,12.0,2010.0,2010-12,VW,171500,140,10300
7468112,TOYOTA Yaris 1.33 Sol Premium (Kleinwagen),Benzin,Schaltgetriebe manuell,4912,Aarwangen,Bützbergstrasse 15,5.2014,5.0,2014.0,2014-05,TOYOTA,61500,99,9800
7495557,JEEP Cherokee 2.0TD Limited AWD 9ATX (SUV / Geländewagen),Diesel,Automat sequentiell,5603,Staufen,Nelkenweg 1,6.2014,6.0,2014.0,2014-06,JEEP,130000,170,16500
5974956,MASERATI GranTurismo MC Stradale Cambiocorsa (Coupé),Benzin,Automatisiertes Schaltgetriebe,1202,Genève,1202 Genève,6.2011,6.0,2011.0,2011-06,MASERATI,48000,450,84500
7505713,MERCEDES-BENZ C 350 Coupé 7G-Tronic (Coupé),Benzin,Automat sequentiell,9220,Bischofszell,"Bitzistrasse, 5",11.2011,11.0,2011.0,2011-11,MERCEDES-BENZ,92000,306,17900
7450486,MERCEDES-BENZ C 350 e AMG Line 7G-Tronic (Kombi),Plug-in-Hybrid Benzin/Elektro,Automat sequentiell,1267,Vich,Route de Gland 10,5.2018,5.0,2018.0,2018-05,MERCEDES-BENZ,21000,293,36400
7429038,VW Golf Variant 1.4 TSI Team DSG (Kombi),Benzin,Automatisiertes Schaltgetriebe,5000,Aarau,Weinbergstrasse 56,5.2011,5.0,2011.0,2011-05,VW,112901,122,7200
7481826,VW Golf Variant 1.4 TSI Value DSG (Kombi),Benzin,Automatisiertes Schaltgetriebe,9015,St. Gallen,9015 St. Gallen,4.201,4.0,2010.0,2010-04,VW,110000,160,6990
